1, 1, 0.6, 1, 1, 0.004, 0.5, 0.5, 0.5, 1560
1, 1, 0.6, 1, 1, 0.0035, 0.5, 0.5, 0.5, 1555
1, 1, 0.6, 1, 1, 0.003, 0.5, 0.5, 0.5, 1524
1, 1, 0.6, 1, 1, 0.0025, 0.5, 0.5, 0.5, 1480
1, 1, 0.6, 1, 1, 0.002, 0.5, 0.5, 0.5, 1437
1, 1, 0.6, 1, 1, 0.0015, 0.5, 0.5, 0.5, 1388
0.4, 1, 0.6, 1, 1, 0.004, 0.5, 0.5, 0.5, 1523
0.3, 1, 0.6, 1, 1, 0.004, 0.5, 0.5, 0.5, 1504
0.2, 1, 0.6, 1, 1, 0.004, 0.5, 0.5, 0.5, 1503
0.1, 1, 0.6, 1, 1, 0.004, 0.5, 0.5, 0.5, 1493
0, 1, 0.6, 1, 1, 0.004, 0.5, 0.5, 0.5, 1469
1, 1, 0.6, 1, 0.8, 0.004, 0.5, 0.5, 0.5, 1547
1, 1, 0.6, 1, 0.6, 0.004, 0.5, 0.5, 0.5, 1496
1, 1, 0.6, 1, 0.4, 0.004, 0.5, 0.5, 0.5, 1471
1, 1, 0.6, 1, 0.2, 0.004, 0.5, 0.5, 0.5, 1433
1, 1, 0.6, 1, 0, 0.004, 0.5, 0.5, 0.5, 1402
1, 1, 0.6, 1, 1, 0.004, 0.5, 0.5, 0.4, 1563
1, 1, 0.6, 1, 1, 0.004, 0.5, 0.5, 0.3, 1556
1, 1, 0.6, 1, 1, 0.004, 0.5, 0.5, 0.2, 1579
1, 1, 0.6, 1, 1, 0.004, 0.5, 0.5, 0.1, 1570
1, 1, 0.6, 1, 1, 0.004, 0.5, 0.5, 0, 1004
1, 1, 0.5, 1, 1, 0.004, 0.5, 0.5, 0.5, 1496
1, 1, 0.4, 1, 1, 0.004, 0.5, 0.5, 0.5, 1419
1, 1, 0.3, 1, 1, 0.004, 0.5, 0.5, 0.5, 1303
1, 1, 0.2, 1, 1, 0.004, 0.5, 0.5, 0.5, 1171
